iter	Logloss
0	0.6866382469
1	0.6806779964
2	0.6746086565
3	0.6689004499
4	0.6631766506
5	0.657606911
6	0.6521045997
7	0.6465727812
8	0.6414447461
9	0.6362868761
10	0.6313646505
11	0.6265347481
12	0.621801312
13	0.6172504066
14	0.6130082885
15	0.6086829438
16	0.6044077147
17	0.6004251899
18	0.5963991053
19	0.593289652
20	0.5898963566
21	0.586995323
22	0.5834845695
23	0.5797986234
24	0.5764422754
25	0.5729593881
26	0.5703386204
27	0.5677822127
28	0.5652025059
29	0.5621087624
30	0.5591396441
31	0.5561998687
32	0.5535953986
33	0.5510261003
34	0.5482754597
35	0.5459668448
36	0.5435987698
37	0.5412017463
38	0.5386465639
39	0.5365803494
40	0.5344157785
41	0.5325768098
42	0.5303517118
43	0.5283784111
44	0.5263891361
45	0.5241925167
46	0.5223150046
47	0.5200868991
48	0.5182760069
49	0.5162982566
50	0.5144200839
51	0.5127058378
52	0.5109693356
53	0.5095433003
54	0.5078423635
55	0.5061639255
56	0.5048721703
57	0.5034501855
58	0.5019544644
59	0.5004412049
60	0.4990832079
61	0.4975941287
62	0.4961461549
63	0.4949094652
64	0.4936982104
65	0.4923377334
66	0.490958549
67	0.4897160091
68	0.4884087202
69	0.4871380236
70	0.4857551247
71	0.4845461436
72	0.4835219371
73	0.4823735049
74	0.4812345606
75	0.4802237432
76	0.4792516654
77	0.4780861454
78	0.4772514209
79	0.476194732
80	0.4751185445
81	0.4741356548
82	0.4732499117
83	0.4723908076
84	0.4714694225
85	0.4705745607
86	0.4697083415
87	0.4688131099
88	0.4679553369
89	0.4670422592
90	0.4662230727
91	0.4654913558
92	0.4647376185
93	0.463853096
94	0.4631965705
95	0.4625870465
96	0.4618052909
97	0.4609670392
98	0.4604117911
99	0.4597705343
100	0.4591710485
101	0.4584795391
102	0.4578960224
103	0.4573215095
104	0.4566915304
105	0.4561205642
106	0.4555306908
107	0.4550347534
108	0.4545434086
109	0.4540330544
110	0.4536192282
111	0.4531298567
112	0.4525070438
113	0.451990269
114	0.4515102181
115	0.4509340205
116	0.4503705599
117	0.4498022298
118	0.4492696791
119	0.4487374829
120	0.4482515892
121	0.4478369583
122	0.4473630994
123	0.4469236601
124	0.4464430508
125	0.4460298923
126	0.445618571
127	0.4452277892
128	0.4446737204
129	0.4442495611
130	0.4438255483
131	0.4434800266
132	0.4431196084
133	0.4426740714
134	0.4422551239
135	0.4418686182
136	0.4414551554
137	0.4410114131
138	0.4406840471
139	0.4403003851
140	0.4399463867
141	0.4395684228
142	0.4392045045
143	0.4388851745
144	0.4385930038
145	0.4382356416
146	0.4379033787
147	0.4376106911
148	0.437367774
149	0.4370909413
150	0.4368145623
151	0.4364969744
152	0.4361538205
153	0.4358626872
154	0.4355621997
155	0.4352229448
156	0.4349597936
157	0.4346766992
158	0.4343807056
159	0.4340697441
160	0.4337877083
161	0.433574078
162	0.4333037703
163	0.4330190959
164	0.4327637143
165	0.4324490544
166	0.4321722118
167	0.4318992618
168	0.4316470001
169	0.4314015605
170	0.4311042063
171	0.4308981861
172	0.430694453
173	0.4304416333
174	0.4302485104
175	0.4300802817
176	0.4297515551
177	0.4295868113
178	0.4293637347
179	0.4291781226
180	0.4290126509
181	0.4288179516
182	0.4285926063
183	0.428417282
184	0.4282217248
185	0.4280816317
186	0.4279183988
187	0.4276921573
188	0.4275087137
189	0.4273362733
