iter	Logloss
190	0.4271987075
191	0.4270256161
192	0.426813707
193	0.4266342046
194	0.426462276
195	0.4263180039
196	0.4261765003
197	0.4260288693
198	0.4258781254
199	0.4256906959
200	0.4255210213
201	0.425404048
202	0.4252668567
203	0.4250487006
204	0.4249118025
205	0.4247788125
206	0.4246653166
207	0.4245265916
208	0.4243741909
209	0.4241832107
210	0.4239824763
211	0.4237658212
212	0.4236043485
213	0.4235232525
214	0.4233970341
215	0.4232492524
216	0.4230923925
217	0.422945506
218	0.4227935173
219	0.4226683644
220	0.4225165168
221	0.4224155724
222	0.4223300097
223	0.4222098387
224	0.4221044618
225	0.4219617784
226	0.4218115644
227	0.421670311
228	0.4215650831
229	0.4214500607
230	0.4213450376
231	0.4211967488
232	0.42101241
233	0.4209265526
234	0.420802323
235	0.4206944452
236	0.4205926443
237	0.420418402
238	0.4203130697
239	0.4202039523
240	0.4200238716
241	0.41990842
242	0.4198272153
243	0.4197382633
244	0.4196609757
245	0.4195691715
246	0.4194444786
247	0.4193035877
248	0.4191039948
249	0.4189968979
250	0.4188974471
251	0.4187466196
252	0.4185982401
253	0.4184367787
254	0.4183563128
255	0.4181936573
256	0.4181093049
257	0.4180394645
258	0.4179509004
259	0.4178660984
260	0.4177841229
261	0.4176869903
262	0.4176109456
263	0.4175380557
264	0.4174844281
265	0.4173798237
266	0.4172826654
267	0.4172052574
268	0.4171011311
269	0.416952464
270	0.416905175
271	0.4168177899
272	0.4167629793
273	0.4166899572
274	0.4166066941
275	0.4165216132
276	0.4164419987
277	0.4163859385
278	0.4163116136
279	0.4162280025
280	0.4161650442
281	0.4160957717
282	0.4160294459
283	0.4159384632
284	0.4158615984
285	0.4157928497
286	0.4157025945
287	0.4155921324
288	0.4154547389
289	0.4153824327
290	0.4152955029
291	0.4152142789
292	0.4151006473
293	0.4150410891
294	0.4149675415
295	0.4149202036
296	0.4147932723
297	0.4147453567
298	0.4146688042
299	0.4145990726
300	0.4145240164
301	0.4144668192
302	0.4143970999
303	0.4143502756
304	0.4142913594
305	0.4142231073
306	0.4141717332
307	0.4140797286
308	0.4140226894
309	0.4139648755
310	0.4138970271
311	0.4138321076
312	0.4137546218
313	0.4136879709
314	0.4135770342
315	0.4135021472
316	0.413433932
317	0.4133698502
318	0.4133183568
319	0.4132869894
320	0.413192814
321	0.4131483989
322	0.4130796814
323	0.4130481047
324	0.4129966174
325	0.4129375102
326	0.4128719986
327	0.412764855
328	0.4127095317
329	0.4126418937
330	0.4126050395
331	0.412557262
332	0.4125043416
333	0.4124516812
334	0.4123758044
335	0.412308326
336	0.4122270325
337	0.4121733881
338	0.4120743034
339	0.4120149938
340	0.4119657395
341	0.4118980242
342	0.4118578373
343	0.4118116484
344	0.4117154885
345	0.4116708733
346	0.4116301608
347	0.4115845162
348	0.4115039041
349	0.4114703014
350	0.4113947049
351	0.4113463549
352	0.4112976931
353	0.4112005846
354	0.4111278621
355	0.411079071
356	0.411002607
357	0.4109376228
358	0.4108677375
359	0.4108295995
360	0.4107875083
361	0.4107365369
362	0.4106819928
363	0.4106376977
364	0.4105722237
365	0.4105288436
366	0.4104784025
367	0.4104378144
368	0.4103993678
369	0.4103709465
370	0.4103233341
371	0.4102666373
372	0.4101910348
373	0.4101552297
374	0.4101233797
375	0.4100648774
376	0.410012137
377	0.4099423093
378	0.409899072
379	0.4098761395
380	0.4098367876
381	0.409799447
382	0.4097608279
383	0.4097310465
384	0.4096981295
385	0.4096674041
386	0.4096283209
387	0.4095780829
388	0.4095602423
389	0.4094913817
390	0.4094599646
391	0.4094334515
392	0.4093846814
393	0.4093381628
394	0.4093004329
395	0.4092655515
396	0.4091934583
397	0.4091481269
398	0.409093241
399	0.4090520665
400	0.4089971561
401	0.4089565516
402	0.4089034569
403	0.4088478755
404	0.4088086834
405	0.4087619381
406	0.4087337607
407	0.4086934141
408	0.4086636458
409	0.4086319111
410	0.4085821254
411	0.4085476994
412	0.4085179353
413	0.4084661009
414	0.4084233659
415	0.4083923328
416	0.4083589884
417	0.4083377741
418	0.4082965964
419	0.4082604864
420	0.4082297974
421	0.4082137363
422	0.4081938763
423	0.4081708481
424	0.4081427133
425	0.4081276524
426	0.4080859524
427	0.4080524353
428	0.4080102296
429	0.4079711398
430	0.4079512681
431	0.407907172
432	0.4078675511
433	0.4078447284
434	0.4078092683
435	0.4077538103
436	0.4077248379
437	0.4076955525
438	0.4076500228
439	0.4076225652
440	0.4075935393
441	0.4075531411
442	0.4075151817
443	0.4074617825
444	0.4074247065
445	0.4073966373
446	0.4073695522
447	0.4073350475
448	0.407307829
449	0.4072853573
450	0.4072530746
451	0.4072285994
452	0.4071925927
453	0.4071496704
454	0.4071133664
455	0.4070739488
456	0.4070243708
457	0.4069961927
458	0.4069608376
459	0.4069436465
460	0.4069003699
461	0.4068680547
462	0.4068504441
463	0.4067912392
464	0.4067540197
465	0.4066944797
466	0.4066425
467	0.4066167295
468	0.4065934822
469	0.4065440481
470	0.4065041744
471	0.4064661155
472	0.4064399365
473	0.4064141949
474	0.4063943006
475	0.4063394831
476	0.4063167911
477	0.4062925079
478	0.4062574885
479	0.4062343354
480	0.4062077187
481	0.406181896
482	0.4061447297
483	0.4061198758
484	0.4060969361
485	0.406051522
486	0.4060295517
487	0.4060078704
488	0.4059850253
489	0.4059553759
490	0.4059417534
491	0.4059113722
492	0.40588186
493	0.4058418604
494	0.4058150346
495	0.4057953947
496	0.4057716514
497	0.4057359979
498	0.4057064723
499	0.4056845344
